"selection2_name","selection2_url","selection2_special1","selection2_shippingPrice","selection2_special2","selection2_special3"
"Tradent Supply","https://www.net32.com/vendor/17357","$85.48","+ FREE Std. Shipping","2 @ $85.44","5 @ $84.98"
"River Dental Supplies","https://www.net32.com/vendor/20130","$85.49","+ FREE Std. Shipping","3 @ $85.45","4 @ $83.50"
"Top Dent","https://www.net32.com/vendor/20727","$89.98","+ FREE Std. Shipping","",""
"First Dent Supply","https://www.net32.com/vendor/20533","$99.35","+ FREE Std. Shipping","2 @ $97.00","3 @ $91.00"
"Dental Wholesale Direct","https://www.net32.com/vendor/18093","$107.94","+ FREE Std. Shipping","",""
"Medical Dental Max","https://www.net32.com/vendor/20715","$115.00","+ $4.00 Std. Shipping","",""
"Wisdom Dental Supply","https://www.net32.com/vendor/20460","$128.40","+ FREE Std. Shipping","",""
"IDS","https://www.net32.com/vendor/19272","$159.99","+ $6.95 Std. Shipping","",""
"DDI Supply","https://www.net32.com/vendor/17396","$193.43","+ FREE Std. Shipping","",""
"Franklin Dental","https://www.net32.com/vendor/22","$194.65","+ $9.99 Std. Shipping","",""
"Carolina Dental","https://www.net32.com/vendor/5","$207.40","+ $10.95 Std. Shipping","",""
"PA Dental","https://www.net32.com/vendor/130","$222.48","+ FREE Std. Shipping","",""
"Supply Doc","https://www.net32.com/vendor/20721","$223.99","+ FREE Std. Shipping","",""
"Hey Dental","https://www.net32.com/vendor/16992","$220.32","+ $5.95 Std. Shipping","",""
"LV Dental Supply","https://www.net32.com/vendor/16999","$124.00","+ FREE Std. Shipping","",""